cycle_index,r_c_0_0s,r_d_0_0s,r_c_0_3s,r_d_0_3s,r_c_0_10s,r_d_0_10s,r_c_0_30s,r_d_0_30s,r_c_1_0s,r_d_1_0s,r_c_1_3s,r_d_1_3s,r_c_1_10s,r_d_1_10s,r_c_1_30s,r_d_1_30s,r_c_2_0s,r_d_2_0s,r_c_2_3s,r_d_2_3s,r_c_2_10s,r_d_2_10s,r_c_2_30s,r_d_2_30s,r_c_3_0s,r_d_3_0s,r_c_3_3s,r_d_3_3s,r_c_3_10s,r_d_3_10s,r_c_3_30s,r_d_3_30s,r_c_4_0s,r_d_4_0s,r_c_4_3s,r_d_4_3s,r_c_4_10s,r_d_4_10s,r_c_4_30s,r_d_4_30s,r_c_5_0s,r_d_5_0s,r_c_5_3s,r_d_5_3s,r_c_5_10s,r_d_5_10s,r_c_5_30s,r_d_5_30s,seq_num,diag_pos
0,0.22516294,0.25359234,0.3607183,0.36975282,0.41855526,0.42019242,0.525192142,0.5073118,0.186857864,0.179231837,0.22923854,0.226020962,0.276961982,0.276103079,0.352714092,0.361641496,0.177961856,0.172874257,0.221001938,0.219089389,0.268079877,0.269814998,0.345754594,0.360368371,0.179233,0.174782917,0.214681968,0.21403271,0.250132918,0.250829637,0.303806901,0.310794711,0.197666556,0.197027519,0.246482372,0.247226804,0.281069338,0.285100222,0.336858571,0.34702161,0.245967954,0.230076626,0.384151012,0.437308848,0.426480055,0.506912589,0.488273442,0.623974741,100,0
8,-0.014778733,-0.027304038,-0.029577702,-0.034267217,-0.03098911,-0.03714183,-0.033232361,-0.038844436,-0.014609769,-0.010785878,-0.017030954,-0.01378803,-0.018347502,-0.016928852,-0.020298302,-0.018397242,-0.012703389,-0.012057841,-0.014006287,-0.014758125,-0.015076578,-0.017690301,-0.017166317,-0.021929085,-0.012703329,-0.013964519,-0.015651196,-0.018046081,-0.016916707,-0.018641889,-0.017146498,-0.020941406,-0.013973653,-0.02095598,-0.026152983,-0.028667361,-0.025861293,-0.029608667,-0.027950108,-0.0323807,-0.031132549,-0.023492858,-0.05746755,-0.088977545,-0.055669934,-0.091204494,-0.055422634,-0.100207567,100,hppc_1
24,-0.030183822,-0.043202505,-0.020842612,-0.027633458,-0.023420721,-0.030267477,-0.023842216,-0.032402277,-0.015877217,-0.012698874,-0.016521767,-0.016401798,-0.018298119,-0.018495589,-0.020283043,-0.02031666,-0.012064144,-0.011428133,-0.015362352,-0.015806437,-0.015410691,-0.016962647,-0.014594793,-0.023490787,-0.01524213,-0.012063593,-0.01955983,-0.019767419,-0.020526648,-0.020300999,-0.02031827,-0.024130076,-0.014607221,-0.023504868,-0.030577585,-0.033088878,-0.030130208,-0.035797343,-0.03288126,-0.037477106,-0.029218987,-0.026042864,-0.067016453,-0.095249087,-0.063944668,-0.095518053,-0.063674152,-0.099591136,100,1
127,-0.002052501,-0.043840364,0.007664204,-0.004390061,0.010094076,-0.004919171,0.014472127,-0.004544258,-0.011416629,-0.010158256,-0.007709265,-0.008157134,-0.008323669,-0.009083539,-0.006920725,-0.009515107,-0.010785952,-0.006980672,-0.008254454,-0.010344446,-0.00942114,-0.01413694,-0.010804892,-0.025446892,-0.010783821,-0.009524927,-0.012027293,-0.014567524,-0.012025297,-0.014547318,-0.010769844,-0.015236735,-0.017777801,-0.021599934,-0.028071716,-0.02938284,-0.025743753,-0.02971217,-0.023482949,-0.029156059,-0.031752542,-0.027953833,-0.064905643,-0.091782779,-0.042810351,-0.071858287,-0.003906071,-0.026502788,100,2
230,-0.011310115,-0.027317151,0.03801337,0.023087531,0.0408414,0.022069305,0.048308849,0.02341652,-0.00571695,-0.000626147,0.001293972,0.001640618,0.001885623,0.000991762,0.007021487,0.003828645,-0.005720884,-0.005075634,-8.04E-05,-0.001003414,-0.000910819,-0.003237218,4.77E-07,-0.01333046,-0.005718902,-0.004441917,-0.004958361,-0.005824253,-0.003151104,-0.005029812,0.00063625,-0.002527982,-0.011443079,-0.017786235,-0.019725531,-0.021632895,-0.016591519,-0.019598991,-0.010172546,-0.016441584,-0.03749761,-0.024777994,-0.047716945,-0.074486375,-0.015009224,-0.040601611,0.054511726,0.038323402,100,3
333,0.009965807,-0.016529843,0.0821819,0.06755024,0.08802897,0.06976563,0.107171178,0.07549149,0.005723506,0.008258104,0.019705877,0.019057363,0.022251964,0.020966858,0.029902399,0.025413752,0.008897409,0.009529337,0.017221227,0.015716925,0.018956959,0.015511245,0.022881359,0.010160714,0.004448414,0.006349578,0.009814903,0.00880748,0.013209134,0.011386573,0.020337254,0.01587972,-0.006356329,-0.006997377,-0.000823051,-0.002650961,0.004551381,0.002502054,0.013981462,0.011388421,-0.015252441,-0.012718022,0.003168702,-0.006190419,0.052470833,0.06035161,0.158110142,0.228303909,100,4
436,-0.029481739,-0.01782851,0.15332615,0.13273418,0.17108607,0.13835508,0.201804161,0.15231931,0.020962045,0.023487478,0.054154426,0.050806224,0.060352147,0.055736065,0.07564041,0.067945063,0.023504689,0.027303174,0.047503605,0.044607371,0.052023172,0.045777917,0.058451563,0.046974689,0.027317822,0.024759054,0.040745452,0.038227558,0.046338141,0.04447189,0.058459908,0.055242717,0.022230506,0.012046516,0.035023838,0.03393352,0.044695914,0.045871109,0.059721172,0.0641343,,,,,,,,,100,5
539,0.039169326,0.032367945,0.31403625,0.2835263,0.3417048,0.29668415,0.395554483,0.3257901,0.058423311,0.050808102,0.134177625,0.129120886,0.14722541,0.146452963,0.17597428,0.191850752,0.05715239,0.062249348,0.116222456,0.111648858,0.123470068,0.121720731,0.139857352,0.15054816,0.055881247,0.059069768,0.103411898,0.10227865,0.114152968,0.116840661,0.135283381,0.158181578,0.057781547,0.046357036,0.110913038,0.118697971,0.125242531,0.147146553,0.146257311,0.211554319,,,,,,,,,100,6
642,0.07953943,0.029839158,0.47215337,0.43978256,0.50845957,0.45708948,0.575751662,0.49536872,0.078767762,0.090805218,0.205800354,0.20054397,0.222047716,0.221198618,0.263688654,0.283155829,0.079402834,0.087632224,0.172495827,0.167703241,0.184450001,0.182115167,0.212187916,0.23114109,0.090205386,0.083182082,0.159895018,0.159446895,0.174323589,0.181324571,0.20916301,0.252154827,,,,,,,,,,,,,,,,,100,7
745,0.08553596,0.094619215,0.6957794,0.68622404,0.7415234,0.71218914,0.8192662,0.8442364,0.116851971,0.134669289,0.31303212,0.314076096,0.3373276,0.355342865,0.400208801,0.494912237,0.122573137,0.136576965,0.264836133,0.269376218,0.291560113,0.30915162,0.355068117,0.44535017,,,,,,,,,,,,,,,,,,,,,,,,,100,8
848,0.10145749,0.08510259,0.7928485,0.79158217,0.8486006,0.82503694,0.935070157,0.99426305,0.13658534,0.152475193,0.370692819,0.366173893,0.397562146,0.412567854,0.467016131,0.57183969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9
0,0.18217878,0.18372281,0.23146836,0.23316081,0.28314593,0.28147838,0.380533129,0.37062016,0.151941463,0.149394721,0.188786477,0.186921194,0.232080266,0.233828306,0.305158377,0.316585213,0.149400502,0.148121327,0.190328151,0.189942777,0.235513255,0.237173706,0.312787265,0.328029901,0.152579188,0.150028437,0.18147549,0.180359527,0.215415969,0.214604169,0.267014086,0.270862103,0.160208061,0.158928305,0.191842005,0.191468477,0.225909635,0.226279303,0.281636059,0.28429535,0.193268433,0.189442158,0.256792605,0.270772696,0.304435223,0.336854279,0.369369954,0.442583978,280,0
