,voltage,test_time,current,internal_resistance,charge_capacity,discharge_capacity,charge_energy,discharge_energy,temperature,cycle_index,cycle_type,step_index,step_index_counter,step_type,discharge_dQdV,charge_dQdV
16000,4.391089,699468.21,-0.012703136,0.0,0.2578448816,1.621e-07,0.9873879333,7.117e-07,,1,rpt_0.05C,13,2,1,-0.01828158,0.0
16001,4.3883014,699483.5164459095,-0.012310347,0.0,0.2578448816,5.1126641588629614e-05,0.9873879333,0.00022432891032495456,,1,rpt_0.05C,13,2,1,-0.024128186,-1.9912505e-14
16002,4.3855133,699503.7189261857,-0.011987595,0.0,0.2578448816000001,0.00011839007282523218,0.9873879333000002,0.000519389388832519,,1,rpt_0.05C,13,2,1,-0.054783,1.9912505e-14
16003,4.3827257,699549.5923933582,-0.011988809,0.0,0.2578448816,0.000271111576456215,0.9873879333,0.0011889229989052947,,1,rpt_0.05C,13,2,1,-0.062453963,0.0
16004,4.379938,699601.8899744225,-0.012005821,0.0,0.2578448816,0.0004452178221825183,0.9873879333,0.0019517267702988672,,1,rpt_0.05C,13,2,1,-0.07644234,1.9912505e-14
16005,4.37715,699665.8999351334,-0.011955413,0.0,0.25784488159999996,0.0006583202192453574,0.9873879333,0.002884823859470101,,1,rpt_0.05C,13,2,1,-0.08410042,-1.9912505e-14
16006,4.3743625,699736.3232014028,-0.011994298,0.0,0.2578448816,0.00089277144996609,0.9873879333,0.003910745597242279,,1,rpt_0.05C,13,2,1,-0.08842685,0.0
16007,4.371575,699810.3698053248,-0.011993591,0.0,0.2578448816,0.0011392837020577171,0.9873879333,0.004988726585783844,,1,rpt_0.05C,13,2,1,-0.095670335,0.0
16008,4.368787,699890.4817685371,-0.011974229,0.0,0.2578448816,0.0014059889993782448,0.9873879333,0.006154277834723479,,1,rpt_0.05C,13,2,1,-0.09425876,0.0
16009,4.365999,699969.4115781563,-0.011957654,0.0,0.2578448816,0.0016687591934296476,0.9873879333,0.007301890337301269,,1,rpt_0.05C,13,2,1,-0.10082511,0.0
16010,4.3632116,700053.8389310765,-0.011993591,0.0,0.2578448816,0.0019498347381824203,0.9873879333,0.008528676548953642,,1,rpt_0.05C,13,2,1,-0.1066979,0.0
16011,4.3604236,700143.1845240481,-0.01198392,0.0,0.2578448816,0.002247282188505372,0.9873879333,0.00982607477016253,,1,rpt_0.05C,13,2,1,-0.0956142,0.0
16012,4.357636,700223.2496042084,-0.011976341,0.0,0.2578448816,0.002513831005266256,0.9873879333,0.010987990330546728,,1,rpt_0.05C,13,2,1,-0.112994626,0.0
16013,4.3548484,700317.8685295591,-0.011979864,0.0,0.2578448816,0.002828832156153336,0.9873879333,0.012360242639899176,,1,rpt_0.05C,13,2,1,-0.1066999,0.0
16014,4.3520603,700407.2162124248,-0.011984927,0.0,0.2578448816,0.003126285172448204,0.9873879333,0.013655209025003227,,1,rpt_0.05C,13,2,1,-0.114253,-1.9912505e-14
16015,4.3492727,700502.8889876629,-0.011980599,0.0,0.2578448816000001,0.003444794354277712,0.9873879333,0.015040961230004531,,1,rpt_0.05C,13,2,1,-0.110903256,0.0
16016,4.346485,700595.7563889318,-0.011993591,0.0,0.2578448816000001,0.0037539652948184563,0.9873879333000002,0.016385213549411207,,1,rpt_0.05C,13,2,1,-0.116540775,1.9912505e-14
16017,4.343697,700693.3442309619,-0.011972622,0.0,0.2578448816,0.004078852234631283,0.9873879333000001,0.01779690280832023,,1,rpt_0.05C,13,2,1,-0.1192801,0.0
16018,4.3409095,700793.2265057387,-0.011993591,0.0,0.2578448816,0.004411375748130315,0.9873879332999999,0.01924082823385619,,1,rpt_0.05C,13,2,1,-0.115750276,0.0
16019,4.3381214,700890.152801512,-0.011982686,0.0,0.2578448816,0.004734058971220865,0.9873879333,0.02064112914018054,,1,rpt_0.05C,13,2,1,-0.11736398,0.0
16020,4.335334,700988.4300053953,-0.0119763715,0.0,0.2578448816,0.005061240810562245,0.9873879333,0.022060066929812175,,1,rpt_0.05C,13,2,1,-0.12466306,0.0
16021,4.332546,701092.8199323647,-0.011993591,0.0,0.2578448816,0.0054087706908297955,0.9873879333,0.023566261712481888,,1,rpt_0.05C,13,2,1,-0.12016101,-1.9912505e-14
16022,4.329758,701193.4388577156,-0.011984115,0.0,0.2578448816000001,0.005743749967491049,0.9873879333,0.025017123488699694,,1,rpt_0.05C,13,2,1,-0.12945922,1.9912505e-14
16023,4.3269706,701301.8425275551,-0.011998155,0.0,0.2578448816,0.006104650331318894,0.9873879333,0.026579230563001655,,1,rpt_0.05C,13,2,1,-0.11996994,0.0
16024,4.324183,701402.3021760187,-0.011981047,0.0,0.2578448816,0.006439096951063596,0.9873879333,0.02802588457655466,,1,rpt_0.05C,13,2,1,-0.12520869,0.0
16025,4.321395,701507.1480761523,-0.011993591,0.0,0.2578448816,0.0067881479201903835,0.9873879333,0.02953476872503007,,1,rpt_0.05C,13,2,1,-0.12644319,0.0
16026,4.3186073,701613.0284350845,-0.011993591,0.0,0.2578448816,0.007140640381802039,0.9873879333,0.031057531951289005,,1,rpt_0.05C,13,2,1,-0.12477928,0.0
16027,4.3158197,701717.5147344689,-0.011992328,0.0,0.2578448816,0.007488494237194137,0.9873879333,0.0325593238969782,,1,rpt_0.05C,13,2,1,-0.13511367,0.0
16028,4.3130317,701830.6542361996,-0.011970703,0.0,0.2578448816,0.007865157832335523,0.9873879333,0.034184421125928885,,1,rpt_0.05C,13,2,1,-0.13386858,0.0
16029,4.310244,701942.7525851703,-0.011993591,0.0,0.2578448816,0.00823835043146292,0.9873879333,0.03579346871117432,,1,rpt_0.05C,13,2,1,-0.12779121,0.0
16030,4.3074565,702049.7616783567,-0.012013503,0.0,0.2578448816,0.008594600802557252,0.9873879333,0.03732849334367885,,1,rpt_0.05C,13,2,1,-0.1255496,0.0
16031,4.3046684,702154.8938176353,-0.011985225,0.0,0.2578448816,0.00894460213398045,0.9873879333,0.03883563992555606,,1,rpt_0.05C,13,2,1,-0.13351254,0.0
16032,4.301881,702266.6926235806,-0.011978967,0.0,0.2578448816,0.009316802167705472,0.9873879333,0.0404373798852176,,1,rpt_0.05C,13,2,1,-0.14147313,0.0
16033,4.2990932,702385.1580961924,-0.012002292,0.0,0.2578448816,0.009711194380913477,0.9873879333,0.042133503936299194,,1,rpt_0.05C,13,2,1,-0.13746715,0.0
16034,4.296305,702500.2694021377,-0.0119740665,0.0,0.2578448816,0.01009441888763643,0.9873879333,0.04378051213655469,,1,rpt_0.05C,13,2,1,-0.13754661,0.0
16035,4.2935176,702615.4473872746,-0.011970703,0.0,0.2578448816,0.010477864943468166,0.9873879333,0.04542740298143191,,1,rpt_0.05C,13,2,1,-0.1416568,0.0
16036,4.29073,702734.0663126252,-0.01195192,0.0,0.2578448816,0.010872769179907852,0.9873879333,0.047122389172439036,,1,rpt_0.05C,13,2,1,-0.13631679,0.0
16037,4.287942,702848.2143649799,-0.011993591,0.0,0.2578448816,0.011252786777376712,0.9873879333,0.048752434303045065,,1,rpt_0.05C,13,2,1,-0.14241031,0.0
16038,4.2851543,702967.4646259185,-0.011993591,0.0,0.2578448816,0.011649791600453721,0.9873879333,0.05045425025728556,,1,rpt_0.05C,13,2,1,-0.14624158,0.0
16039,4.2823668,703089.9230886773,-0.0119752325,0.0,0.2578448816,0.01205747707335255,0.9873879333,0.052200698822190764,,1,rpt_0.05C,13,2,1,-0.14814772,0.0
16040,4.2795787,703213.9771628972,-0.011992155,0.0,0.2578448816,0.012470476396374218,0.9873879333,0.05396873149051906,,1,rpt_0.05C,13,2,1,-0.14152354,-1.9912505e-14
16041,4.276791,703332.4861742235,-0.011973277,0.0,0.2578448816000001,0.012865009127915947,0.9873879333000001,0.05565659847349009,,1,rpt_0.05C,13,2,1,-0.14962634,1.9912505e-14
16042,4.2740035,703457.7798647294,-0.0119721675,0.0,0.2578448816,0.013282130474481233,0.9873879333,0.05743995578189438,,1,rpt_0.05C,13,2,1,-0.14704907,0.0
16043,4.2712154,703580.9154144002,-0.011993591,0.0,0.2578448816,0.01369206700247257,0.9873879333,0.059191442874384256,,1,rpt_0.05C,13,2,1,-0.14606863,0.0
16044,4.268428,703703.2281649013,-0.011993591,0.0,0.2578448816,0.014099270315634155,0.9873879333,0.06093014619160618,,1,rpt_0.05C,13,2,1,-0.15333569,1.9912505e-14
16045,4.2656403,703831.6267865399,-0.011993591,0.0,0.25784488159999996,0.014526732407633337,0.9873879333,0.06275416589779828,,1,rpt_0.05C,13,2,1,-0.15151468,-1.9912505e-14
16046,4.262852,703958.5009068135,-0.011993591,0.0,0.2578448816,0.014949117957903322,0.9873879333,0.06455533538310378,,1,rpt_0.05C,13,2,1,-0.14991882,0.0
16047,4.2600646,704084.0379468027,-0.011950594,0.0,0.2578448816,0.015367054693377728,0.9873879332999999,0.06633640607965505,,1,rpt_0.05C,13,2,1,-0.16017807,0.0
16048,4.257277,704218.1666669052,-0.011980092,0.0,0.2578448816,0.015813591637505384,0.9873879333,0.06823809627169254,,1,rpt_0.05C,13,2,1,-0.15811054,0.0
16049,4.254489,704350.563991316,-0.011993591,0.0,0.2578448816,0.01625436486922311,0.9873879333,0.07011399606163554,,1,rpt_0.05C,13,2,1,-0.16249813,0.0
16050,4.2517014,704486.635015941,-0.011993591,0.0,0.2578448816,0.01670736959082085,0.9873879333,0.07204066219621916,,1,rpt_0.05C,13,2,1,-0.15853907,0.0
16051,4.248914,704619.390632694,-0.011993591,0.0,0.2578448816,0.017149337419574952,0.9873879333,0.07391914577301067,,1,rpt_0.05C,13,2,1,-0.15564525,0.0
16052,4.2461257,704749.7229602956,-0.011996538,0.0,0.2578448816,0.017583238015909948,0.9873879333,0.07576216427224605,,1,rpt_0.05C,13,2,1,-0.15915652,-1.9912505e-14
16053,4.243338,704882.996616984,-0.011980517,0.0,0.2578448816000001,0.018026927139943878,0.9873879333,0.07764553073013652,,1,rpt_0.05C,13,2,1,-0.16811322,0.0
16054,4.24055,705023.7702736724,-0.01196592,0.0,0.2578448816000001,0.01849558535575839,0.9873879333000002,0.07963358464240512,,1,rpt_0.05C,13,2,1,-0.1678898,1.9912505e-14
16055,4.2377625,705164.3559204122,-0.011993591,0.0,0.2578448816,0.018963620733005372,0.9873879333,0.08161765802442417,,1,rpt_0.05C,13,2,1,-0.16386162,-1.9912505e-14
16056,4.234975,705301.5675870492,-0.0119816065,0.0,0.2578448816000001,0.01942042651767284,0.9873879333,0.083552829340095,,1,rpt_0.05C,13,2,1,-0.163607,1.9912505e-14
16057,4.232187,705438.5678062375,-0.011993591,0.0,0.2578448816,0.019876522509759905,0.9873879333,0.08548376174240649,,1,rpt_0.05C,13,2,1,-0.17212033,0.0
16058,4.229399,705582.6959576295,-0.011970703,0.0,0.2578448816,0.020356351559982805,0.9873879333,0.08751382330297731,,1,rpt_0.05C,13,2,1,-0.16858535,0.0
16059,4.2266116,705723.8651196142,-0.011993591,0.0,0.2578448816,0.020826325943963764,0.9873879333,0.08950088103894531,,1,rpt_0.05C,13,2,1,-0.1716088,0.0
16060,4.2238235,705867.5650350701,-0.011979633,0.0,0.2578448816,0.02130472898570513,0.9873879333,0.09152223679886386,,1,rpt_0.05C,13,2,1,-0.16461886,0.0
16061,4.221036,706005.412432991,-0.011971385,0.0,0.2578448816,0.0217636457942271,0.9873879333,0.09346000515437959,,1,rpt_0.05C,13,2,1,-0.1815483,0.0
16062,4.2182484,706157.4360896794,-0.011971905,0.0,0.2578448816,0.022269757680985068,0.9873879333000001,0.09559564558225629,,1,rpt_0.05C,13,2,1,-0.17103876,0.0
16063,4.2154603,706300.6596618237,-0.012012512,0.0,0.2578448816,0.022746571555484568,0.9873879333,0.09760627869916147,,1,rpt_0.05C,13,2,1,-0.17254494,0.0
16064,4.2126727,706445.1438892069,-0.011993591,0.0,0.2578448816,0.023227584295388598,0.9873879333,0.09963330439591489,,1,rpt_0.05C,13,2,1,-0.1818938,0.0
16065,4.209885,706597.456639708,-0.011970703,0.0,0.2578448816,0.023734659369050285,0.9873879333,0.10176873611895382,,1,rpt_0.05C,13,2,1,-0.17677493,1.9912505e-14
