Q_ne,Q_pe,SOC_ne_0,SOC_pe_0,SOC_ne_100,SOC_pe_100,Q_li,Q_full,error,Q_offset,cycle_index,seq_num
307.3029577,303.5502949,1.366155847,96.31562201,91.05592786,5.51705359,296.564592,272.0671218,0.004526671,3.552200403,0,100
303.3170376,301.1441896,1.26969094,95.65707838,90.78280021,5.498104452,291.9169224,268.8308278,0.003856615,2.677683545,24,100
301.1298162,297.6812862,1.112797404,93.86187325,88.45439764,5.508452157,282.7601963,261.0410139,0.004095175,1.970586376,127,100
301.6766911,295.9930769,1.05835788,92.99049089,86.90790333,5.492475475,278.4382342,257.1541654,0.004589467,1.833902646,230,100
301.7644544,294.2970626,1.011822118,92.117379,85.46459952,5.521726039,274.15206,252.8429383,0.005848701,2.005524677,333,100
322.506357,292.637045,0.977539159,90.69487775,78.25155096,5.533547472,268.5594361,247.2085933,0.007087855,2.005007058,436,100
385.6387503,288.4814144,0.951898453,87.37401545,62.60847431,4.952189743,255.7286849,235.0357248,0.006491284,2.735923791,539,100
399.8216869,287.3094482,0.848138235,81.20244163,55.98157709,4.478391427,236.6933276,215.071573,0.007031833,5.363872278,642,100
295.9189705,292.17067,1.360575314,96.32404401,90.97920131,5.555687485,285.4568052,262.004954,0.004393701,3.193561426,0,101
295.5194183,289.8882549,1.211992619,95.32306303,89.31025745,5.513463854,279.9120375,257.9154323,0.004017287,2.432047486,24,101
292.6880114,286.5601209,1.105543342,93.81203894,87.54465053,5.524491065,272.063685,251.0579982,0.004238953,1.93890571,127,101
293.2161525,284.9823235,1.056510196,92.98657831,86.05943691,5.527711332,268.09317,247.4537226,0.004692399,1.788588657,230,101
293.3884325,283.6564564,1.01676709,92.27398923,84.85808874,5.556153681,264.7242051,244.1958856,0.005406029,1.784853784,333,101
319.9916705,283.6138117,0.976838544,90.06672866,75.96130422,5.464345246,258.5674842,238.2445427,0.007333692,1.699501669,436,101
367.7163951,281.5104927,0.985790304,87.34465317,64.01427884,5.015186977,249.5092761,229.7545799,0.007036314,2.011506054,539,101
378.7104259,276.8955006,0.881870413,82.97060072,58.1663401,4.622538498,233.0815955,213.166579,0.006471817,3.775680139,642,101
302.3588821,297.4777753,1.332748093,96.1374574,90.4768204,5.530681724,290.0172517,266.3575522,0.004470005,3.177468318,0,102
300.3323159,294.5447631,1.205511576,95.19037417,89.1886238,5.478468984,283.9988029,261.7961535,0.004082441,2.445565082,24,102
295.8563707,290.8194549,1.111304804,93.79387471,87.88321052,5.5191026,276.0587012,254.8260883,0.00402917,1.89412278,127,102
296.7748089,289.2938942,1.060466972,92.91535904,86.25894868,5.513710986,271.9456593,251.0933372,0.004449526,1.754294085,230,102
321.2843976,290.820061,1.038559645,91.13440356,78.60311604,5.444710474,268.3738582,247.4991199,0.005902788,1.703697843,333,102
318.6369138,287.9101247,0.975217737,90.24271967,77.5675084,5.47622825,262.9253305,242.2983421,0.00686239,1.752969068,436,102
356.7446543,286.3853383,0.98731078,88.8975349,68.1366524,5.250904088,258.1116845,237.6342771,0.006823736,1.917409509,539,102
376.6217744,281.0181185,0.92844887,86.75567151,61.98161889,4.931932353,247.2958964,227.0530268,0.00614078,2.886505441,642,102
297.0671561,294.7362771,1.448116164,96.64987507,91.84981674,5.533245795,289.1641211,265.0740422,0.004457408,3.479718731,0,103
292.3084586,290.9542875,1.419958809,96.49683189,91.95483655,5.540583095,284.9123294,262.1001078,0.0039386,2.540997813,24,103
291.9485448,289.3409358,1.160234943,94.58078338,89.45578514,5.489492787,277.0482127,255.6816555,0.004032359,2.095918389,127,103
291.9205638,287.5516193,1.092883534,93.68365279,88.00326796,5.452786709,272.5792124,251.7352939,0.004593314,1.973990272,230,103
321.3498944,289.5458747,1.058493264,91.51612477,78.69436103,5.352652615,268.3826309,247.5050442,0.00652028,1.977734885,333,103
324.7463239,286.4452732,0.991417183,90.42995967,75.97110687,5.424617042,262.2519359,241.6364164,0.007226284,1.857369496,436,103
371.0167502,282.0254013,0.939119031,85.90317681,62.51191987,4.901464332,245.7530681,225.8785151,0.00629274,2.566889601,539,103
400,272.4299169,0.785497895,72.46142718,47.24203544,4.250801738,200.5485974,179.7403848,0.008337007,6.085765381,642,103
296.8932107,291.6271703,1.447418459,96.62672959,90.91628915,5.542280061,286.0870844,262.2795611,0.004245266,3.347441634,0,104
332.59462,293.3285262,1.279232852,94.34348884,79.77574002,5.339134865,280.991025,258.6170119,0.006501946,2.458147862,24,104
289.9446142,285.8291348,1.159104723,94.33815305,88.71560446,5.520980663,273.0066883,251.9314313,0.003778273,1.933924065,127,104
321.2140897,287.8848614,1.118992985,92.28339492,78.95744657,5.433367828,269.2642867,248.4229125,0.005823193,1.605167627,230,104
293.1019322,283.2660021,1.064334947,92.94284055,85.52831036,5.545997275,266.395055,245.72461,0.004636232,1.840933926,333,104
301.2082269,281.7740495,0.999999798,91.52265661,81.42884472,5.546571111,260.8991774,240.4629912,0.006586582,1.795306538,436,104
340.2394828,281.4027415,1.010208955,90.07213231,71.07354544,5.359690497,256.9025794,236.3864865,0.007406871,1.996647185,539,104
374.2022178,277.8765358,0.974929426,88.20727292,62.79401099,4.958655469,248.7555218,228.8840338,0.006486887,2.444340457,642,104
305.9725201,300.7007748,1.471488887,96.75518519,91.0825131,5.5731424,295.4459431,270.566944,0.004346103,3.618165116,0,105
301.8240241,298.3864122,1.334302928,96.05820363,90.80678947,5.554933937,290.6518742,267.3125515,0.003662852,2.736907868,24,105
297.7656521,294.5906415,1.162413883,94.47648498,89.1315093,5.559284762,281.7801525,259.9478805,0.003889251,1.993870074,127,105
293.5798837,292.2905274,1.093094018,93.83408911,88.9000032,5.639844802,277.4772581,256.0847185,0.004505349,1.698703327,230,105
324.3216065,293.1750997,1.088761302,92.23944013,79.43585702,5.568860094,273.9541587,252.4466547,0.006250446,1.649904747,333,105
322.3947628,291.0374146,0.999990768,91.11957562,78.23880836,5.558788495,268.4159749,247.1241412,0.007154851,1.889761565,436,105
370.5461436,288.7512307,1.010768843,88.72916118,66.0875853,5.217955651,259.9519099,239.0634762,0.00700796,2.076157573,539,105
397.761711,283.8167686,0.906427122,84.9007036,58.14994214,4.675428026,244.5678535,223.8152103,0.007018386,3.87757445,642,105
326.0124104,293.4270258,1.090181141,92.68839248,79.57247808,5.490552659,275.5269191,253.987147,0.005907733,1.87488096,0,106
304.8648452,290.7956673,1.026883742,92.81236827,84.31257482,5.497176963,273.0249532,252.1169153,0.005041592,1.791877923,24,106
303.6089037,288.3851646,1.001181871,92.10499158,83.27274407,5.490346058,268.6568089,248.339411,0.005155974,1.444377046,127,106
304.7548135,287.161274,0.985125883,91.69789847,82.18384788,5.524365971,266.3230721,246.2333828,0.005583961,1.223631005,230,106
308.2716519,286.7250221,0.9679961,91.26520863,80.71983722,5.520226843,264.6642472,244.6257004,0.006087157,1.226617606,333,106
317.3345707,286.0690373,0.955124083,90.48944272,77.56177326,5.51017215,261.8932166,241.9874869,0.006594512,1.11189437,436,106
342.1648649,285.9927584,0.960624565,89.14902387,70.99186896,5.36287695,258.2466722,238.5743797,0.007523943,1.047933058,539,106
375.2753705,284.2206863,0.988620143,87.48711124,63.47579454,4.981161993,252.3665159,233.1135114,0.007646887,1.385463834,642,106
305.9869376,294.7466506,1.071889368,93.60828073,85.8982008,5.547082393,279.1871136,257.1150422,0.004943607,2.442390402,0,107
303.1608808,293.1682406,1.046661432,93.1253903,85.75989699,5.524703909,276.1871363,254.8168418,0.004718227,2.000549256,24,107
317.9063924,293.0936979,1.025317904,91.26254894,80.0895668,5.504887426,270.7443306,249.8846952,0.005499387,1.465606139,127,107
302.7149284,289.3890571,0.979582247,91.42953781,83.10410849,5.523317544,267.5524191,247.2208118,0.005443613,1.382389032,230,107
306.7233455,288.7454016,0.961803909,90.87471042,81.30532558,5.52881879,265.3466247,245.0972582,0.005932196,1.335079342,333,107
321.7928293,288.6556447,0.938750112,89.54215225,76.33773377,5.487491552,261.4893074,241.4550543,0.007041562,1.173468481,436,107
363.3830347,288.3653807,0.976023416,87.52457649,66.34330838,5.152128284,255.9372817,236.406897,0.008122176,1.126726836,539,107
376.5097713,286.3504855,0.982075671,86.81839384,63.22941968,4.972074563,252.3025031,232.7985698,0.007796036,1.568762797,642,107
309.8097468,295.625138,1.03391522,92.99437919,84.61254748,5.405498647,278.1179319,256.6697757,0.005436391,2.264973242,0,108
306.6938681,293.9280103,1.017017035,92.63688744,84.62611038,5.396490657,275.404889,254.5037191,0.005206112,1.920243366,24,108
322.5477272,292.8728962,1.003910608,91.18791997,79.05349824,5.230095165,270.302793,250.211753,0.005789275,1.535417983,127,108
321.7143283,291.9482501,0.987687328,90.75822928,78.52053222,5.320391914,268.1445939,248.1060753,0.005992047,1.328195866,230,108
309.809386,289.3726605,0.962125211,90.90428846,80.82905127,5.396821095,266.0329123,246.0316439,0.006010703,1.403589367,333,108
