seq_num,1st_ch_cap,1st_disch_cap,1st_CE,disch_cap_with_cv,last_ch_cap,last_disch_cap,last_CE,formation_time,temperature_exp,cv_hold_cap
100,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717
101,0.305050964,0.250596234,0.8215,0.265537976,,,,27.806275,23.91941979,0.00161548
102,0.3041723,0.252420159,0.8299,0.266958552,,,,26.9702861,24.10795573,0.001564747
103,0.305667533,0.253067196,0.8279,0.267381009,,,,60.500175,24.18218826,0.005318014
104,0.301120281,0.248238948,0.8244,0.26265688,,,,59.5992361,23.9307922,0.005427136
105,0.306257402,0.253558869,0.8279,0.267875404,,,,60.6754028,23.84234546,0.005255476
106,0.376233934,0.243780202,0.6479,0.247503504,0.2372005,0.236348472,0.9964,37.5904111,24.05828781,0.133735104
107,0.371201808,0.24835596,0.6691,0.254616103,0.245151919,0.244336566,0.9967,38.6299472,23.98377407,0.130261801
108,0.383665287,0.243988747,0.6359,0.247446261,0.237216062,0.236439762,0.9967,37.5660028,24.03373664,0.145829818
109,0.301645886,0.245858637,0.8151,0.255332828,0.242072896,0.241649229,0.9982,60.5934639,23.85935245,0.027277596
110,0.299625925,0.239733293,0.8001,0.250958251,0.237815838,0.237200255,0.9974,59.5082111,23.84009843,0.034546111
111,0.3092821,0.245475102,0.7937,0.252987524,0.239824636,0.239338703,0.998,60.1622639,23.79450386,0.037128145
112,0.301797606,0.247956857,0.8216,0.252024714,0.239100197,0.238537962,0.9976,87.057725,24.02359464,0.001529498
113,0.303660185,0.249855364,0.8228,0.253207781,0.239733158,0.239413529,0.9987,86.9810666,23.79631841,0.001534792
114,0.303313515,0.250101688,0.8246,0.254531205,0.241303765,0.241057339,0.999,87.2757917,23.77093596,0.001548008
115,0.301700649,0.249556602,0.8272,0.256529577,0.242719683,0.24199438,0.997,36.94315,24.21178993,0.00899297
116,0.29725706,0.246065228,0.8278,0.252402554,0.238577462,0.238019846,0.9977,36.4223278,24.40923549,0.009002248
117,0.299423733,0.247194944,0.8256,0.254300953,0.240643896,0.239870571,0.9968,36.6628972,24.37448588,0.008933808
118,0.298081527,0.247799783,0.8313,0.256012061,0.24234364,0.241907348,0.9982,34.1808472,24.33595987,0.02524358
119,0.312988189,0.242399807,0.7745,0.253789393,0.239872223,0.239185703,0.9971,33.7168194,24.44943878,0.044278996
120,0.312414536,0.246944937,0.7904,0.256256702,0.242950251,0.242396585,0.9977,34.168925,24.45490059,0.037853557
121,0.299974395,0.249274823,0.831,0.257030166,0.242981984,0.242584877,0.9984,40.4864777,24.26061609,0.010707358
122,0.300210402,0.246858814,0.8223,0.25618395,0.241608594,0.241651086,1.0002,40.3141111,24.26874204,0.010840922
123,0.298080862,0.246874252,0.8282,0.253842045,0.239829366,0.239465755,0.9985,40.0644666,24.3899926,0.011372073
124,0.297243532,0.246469639,0.8292,0.254481666,0.241230757,0.240873169,0.9985,34.7778917,24.37154644,0.008486619
125,0.299377923,0.24835299,0.8296,0.255645789,0.242401437,0.24188619,0.9979,34.9670973,24.19259978,0.009095537
126,0.298489381,0.246067816,0.8244,0.253471579,0.240053288,0.239396705,0.9973,34.6757167,24.19261404,0.009240296
127,0.347942381,0.255059215,0.7331,0.257053906,0.25156381,0.250689751,0.9965,62.2463556,34.17785263,0.085295438
128,0.345930799,0.260148473,0.752,0.261928046,0.256215202,0.255407242,0.9968,63.3542055,34.06584361,0.097844182
129,0.335348019,0.257186557,0.7669,0.259860892,0.253450033,0.252739204,0.9972,62.7744056,34.12749123,0.079397258
130,0.339323756,0.253627987,0.7475,0.25727262,0.249646473,0.248076172,0.9937,29.4576528,34.18950461,0.050317313
131,0.328750307,0.247906845,0.7541,0.252279871,0.243396836,0.242274943,0.9954,28.6595528,34.02288511,0.060088523
132,0.340684864,0.254749625,0.7478,0.259957295,0.252905686,0.252002513,0.9964,29.7205472,33.98702859,0.047569354
133,0.305648505,0.25837346,0.8453,0.265063354,0.256666503,0.255949799,0.9972,63.2912833,34.06986794,0.017177898
134,0.312065515,0.248534564,0.7964,0.256365088,0.246991833,0.246712518,0.9989,60.8457333,34.03725213,0.023971917
135,0.307550611,0.25839163,0.8402,0.265744445,0.257831766,0.257300102,0.9979,63.4001667,34.21640166,0.017994422
136,0.320903359,0.25682028,0.8003,0.260744943,0.253506283,0.252530289,0.9962,42.8151194,34.1755282,0.071587818
137,0.331397423,0.258459475,0.7799,0.261858072,0.254533594,0.253602829,0.9963,43.0343556,34.14993665,0.079811392
138,0.334872713,0.26102112,0.7795,0.263435757,0.256772655,0.255529999,0.9952,43.3774556,34.18157821,0.085390563
139,0.308488502,0.257112952,0.8335,0.264892553,0.256693288,0.256081787,0.9976,57.5468195,34.49728319,0.040185902
140,0.309581288,0.256118062,0.8273,0.263153692,0.254632216,0.25412497,0.998,57.1220889,34.39979276,0.045362564
141,0.317168224,0.257785957,0.8128,0.265946729,0.257287457,0.256698801,0.9977,57.589475,34.29621355,0.048421773
142,0.349723765,0.252364398,0.7216,0.260352743,,,,7.9852556,34.60639145,0.083811715
143,0.360049506,0.253700846,0.7046,0.261364437,,,,8.09415,34.14331544,0.063171602
144,0.343356839,0.251044943,0.7311,0.259395093,,,,7.9580555,33.87925524,0.077677741
145,0.301758193,0.259890057,0.8613,0.261663017,0.252801961,0.25190797,0.9965,68.631375,33.97739221,0.004199346
146,0.301723578,0.255713355,0.8475,0.260331057,0.250990505,0.25053136,0.9982,68.0316333,34.22440282,0.004911013
147,0.302485916,0.257385655,0.8509,0.258508582,0.248696126,0.247887175,0.9967,67.6990639,34.00726546,0.004289074
148,0.304762284,0.25654613,0.8418,0.261183535,0.251044031,0.250450157,0.9976,58.2557639,33.97689486,0.001337932
149,0.302698353,0.256656545,0.8479,0.260065069,0.25049062,0.250042487,0.9982,57.7357916,34.08282592,0.001324434
150,0.304208173,0.25657805,0.8434,0.261684981,0.252650849,0.252406844,0.999,58.7928667,34.04027875,0.001366291
151,0.303947917,0.259060878,0.8523,0.265832473,0.255870943,0.255471452,0.9984,59.827525,34.11627923,0.005077915
152,0.301761994,0.255268723,0.8459,0.262877889,0.251964649,0.252089921,1.0005,59.2724,34.164862,0.00461839
,,,,,,,,,,
154,0.307096853,0.254415788,0.8285,0.260853551,0.250376299,0.250782268,1.0016,76.080975,34.08454099,0.001274803
155,0.30869357,0.25945675,0.8405,0.26321916,0.254005685,0.253993032,1,76.709925,34.46251117,0.001249227
156,0.306740056,0.25674109,0.837,0.261902908,0.252470769,0.252241707,0.9991,76.3822889,34.47111443,0.001240642
157,0.313238056,0.252252282,0.8053,0.257285272,0.250364832,0.249276874,0.9957,40.3068195,34.27806644,0.036650635
158,0.315583578,0.255153099,0.8085,0.261183916,0.253501387,0.25257457,0.9963,40.7694861,34.27801914,0.02943934
159,0.312672444,0.255039551,0.8157,0.261586233,0.254308599,0.253227443,0.9957,40.9375278,34.60109007,0.032482377
160,0.306068858,0.260221786,0.8502,0.266934464,0.256770186,0.256739423,0.9999,85.3672555,34.42687891,0.005314333
161,0.302657969,0.257575211,0.851,0.263898378,0.254716034,0.254492448,0.9991,84.4493084,34.27253508,0.005567121
162,0.300853538,0.255262296,0.8485,0.261882673,0.252665151,0.252504176,0.9994,83.8482639,34.42931885,0.005741654
163,0.32585569,0.253542403,0.7781,0.260015014,,,,8.4347834,39.12639754,0.073767554
164,0.341890181,0.253017286,0.7401,0.258168611,,,,8.4148305,39.10041739,0.089688328
165,0.333297108,0.254978855,0.765,0.260123397,,,,8.4539084,39.18186497,0.092022528
166,0.304425823,0.258914728,0.8505,0.264470489,0.256456526,0.256296497,0.9994,79.6938472,39.09887848,0.008822064
167,0.302312797,0.257998954,0.8534,0.263936945,0.256325479,0.255936422,0.9985,79.4452861,39.18655586,0.009191567
168,0.306525908,0.261217745,0.8522,0.268003147,0.259045034,0.259019771,0.9999,80.3127666,38.99522767,0.009117658
169,0.310697937,0.260830742,0.8395,0.270704492,,,,71.9198639,39.20865665,0.001195196
170,0.306695947,0.257037149,0.8381,0.265975251,,,,71.0037611,39.2790761,0.001198432
171,0.309172117,0.257740929,0.8336,0.268226298,,,,71.5347834,39.25412748,0.001207468
172,0.309058355,0.263458509,0.8525,0.26553412,0.257965034,0.257598639,0.9986,66.2638194,39.15090144,0.001281575
173,0.308165654,0.261063684,0.8472,0.264863672,0.257347162,0.256726983,0.9976,66.0955583,39.2932294,0.001261861
174,0.305192882,0.257790083,0.8447,0.261969657,0.254140508,0.253638836,0.998,65.4083084,39.34438356,0.001287118
175,0.301899193,0.256696457,0.8503,0.262760301,0.253658901,0.25358289,0.9997,56.8230722,39.62945996,0.005423239
176,0.300960624,0.258475842,0.8588,0.26310163,0.254850784,0.254308757,0.9979,56.9457695,39.62947638,0.003911887
177,0.307498842,0.263493523,0.8569,0.268689767,0.260097904,0.259541426,0.9979,58.0701694,39.59352822,0.004142813
178,0.302663794,0.261108465,0.8627,0.270562267,,,,20.7890889,39.86787521,0.030728937
